feature,mean_shap,mean_shap_raw,n_samples
sp500_ret,0.11025103,0.0015376001,103
us_vix,0.06347509,0.00088524615,103
ret_RELIANCE,0.041876875,0.00058402977,103
us_vix_ret,0.039284065,0.00054786954,103
us10y_change,0.03859836,0.0005383064,103
log_return,0.03696616,0.0005155432,103
bb_width,0.031120092,0.00043401186,103
ema_12,0.027085455,0.0003777434,103
macd_hist,0.026618255,0.00037122765,103
us10y_level,0.026097495,0.00036396494,103
ret_TCS,0.025849553,0.00036050705,103
gold_ret,0.025651816,0.00035774935,103
return_10d,0.025569715,0.00035660432,103
momentum_10,0.025219398,0.00035171869,103
usdinr_level,0.024936015,0.00034776653,103
cpi_yoy,0.024488373,0.00034152356,103
log_ret_lag2,0.02372917,0.00033093544,103
usdinr_ret,0.02286274,0.0003188519,103
return_5d,0.02222326,0.00030993347,103
cpi_surprise,0.02172202,0.00030294302,103
ret_HDFCBANK,0.020746665,0.00028934036,103
log_ret_lag1,0.020674387,0.00028833235,103
vol_30,0.018058285,0.00025184726,103
dxy_ret,0.017656123,0.00024623857,103
vol_ratio,0.016173506,0.00022556147,103
return_60d,0.015894352,0.00022166826,103
vol_10,0.015786273,0.00022016099,103
brent_ret,0.015535575,0.00021666466,103
macd,0.01537155,0.0002143771,103
india_vix,0.014942773,0.00020839722,103
india_vix_ret,0.013931315,0.00019429107,103
india_vix_zscore,0.012317246,0.00017178069,103
ret_ICICIBANK,0.0122550875,0.0001709138,103
sma_10,0.011027236,0.00015378975,103
price_sma50_ratio,0.009649171,0.00013457076,103
sma_50,0.009598875,0.00013386933,103
bb_pct,0.009570495,0.00013347353,103
repo_rate,0.008996835,0.00012547306,103
ret_INFY,0.008642238,0.000120527715,103
return_20d,0.00849996,0.00011854347,103
return_1d,0.008301693,0.00011577836,103
rsi_14,0.00810289,0.000113005786,103
momentum_30,0.0070557785,9.840239e-05,103
ema_26,0.006773936,9.447172e-05,103
macd_signal,0.005313836,7.410865e-05,103
roc_10,0.0052862773,7.37243e-05,103
cpi_change,0.00019604614,2.734129e-06,103
repo_change,1.6648211e-05,2.3218186e-07,103
india_vix_spike,0.0,0.0,103
