feature,mean_shap,mean_shap_raw,n_samples
sp500_ret,0.112311475,0.0015459616,102
us_vix,0.06462181,0.0008895159,102
us_vix_ret,0.03982969,0.0005482536,102
ret_RELIANCE,0.039679114,0.00054618093,102
us10y_change,0.039184142,0.00053936767,102
log_return,0.034341794,0.000472713,102
bb_width,0.03172537,0.00043669806,102
ema_12,0.027372368,0.0003767792,102
macd_hist,0.027103312,0.0003730757,102
us10y_level,0.026492564,0.00036466875,102
ret_TCS,0.026034208,0.0003583595,102
gold_ret,0.025991106,0.00035776623,102
return_10d,0.025817584,0.0003553777,102
usdinr_level,0.025087425,0.0003453271,102
momentum_10,0.024964953,0.00034364127,102
cpi_yoy,0.024569733,0.0003382011,102
log_ret_lag2,0.024097452,0.00033170017,102
return_5d,0.022587985,0.00031092242,102
usdinr_ret,0.022559633,0.00031053217,102
cpi_surprise,0.021599442,0.0002973152,102
log_ret_lag1,0.020926358,0.0002880502,102
ret_HDFCBANK,0.020695414,0.0002848713,102
vol_30,0.018109817,0.00024928068,102
dxy_ret,0.017613672,0.00024245128,102
vol_ratio,0.016463807,0.00022662345,102
return_60d,0.016132882,0.00022206828,102
macd,0.015713464,0.00021629501,102
vol_10,0.015648581,0.00021540189,102
brent_ret,0.015590844,0.00021460715,102
india_vix,0.014397711,0.00019818373,102
india_vix_ret,0.014237804,0.00019598263,102
india_vix_zscore,0.01150204,0.00015832497,102
ret_ICICIBANK,0.011233356,0.00015462656,102
sma_10,0.01102377,0.00015174162,102
sma_50,0.009738922,0.00013405575,102
price_sma50_ratio,0.00964719,0.00013279307,102
bb_pct,0.009613218,0.00013232544,102
repo_rate,0.009162818,0.00012612571,102
return_20d,0.008663942,0.000119258715,102
ret_INFY,0.008595203,0.00011831252,102
rsi_14,0.008010851,0.00011026895,102
momentum_30,0.0071592224,9.854632e-05,102
ema_26,0.006833111,9.405742e-05,102
return_1d,0.006420108,8.837245e-05,102
macd_signal,0.005368289,7.389422e-05,102
roc_10,0.0053105964,7.3100084e-05,102
cpi_change,0.00019891374,2.7380372e-06,102
repo_change,1.6870878e-05,2.3222675e-07,102
india_vix_spike,0.0,0.0,102
