feature,mean_shap,mean_shap_raw,n_samples
sp500_ret,0.10381565,0.0011591385,442
us_vix,0.057084285,0.00063736626,442
us_vix_ret,0.04394456,0.0004906566,442
bb_width,0.043169025,0.00048199747,442
us10y_change,0.039492115,0.00044094346,442
ret_RELIANCE,0.038694903,0.0004320423,442
ema_12,0.030989163,0.000346005,442
return_10d,0.029006269,0.00032386527,442
ret_TCS,0.02770827,0.00030937264,442
log_return,0.025827324,0.00028837123,442
vol_30,0.025031598,0.00027948667,442
gold_ret,0.02476504,0.00027651046,442
momentum_10,0.024730558,0.00027612544,442
us10y_level,0.024428505,0.00027275292,442
ret_HDFCBANK,0.023381677,0.0002610647,442
usdinr_ret,0.02280448,0.0002546201,442
usdinr_level,0.022747977,0.00025398922,442
macd_hist,0.022278612,0.0002487486,442
return_5d,0.021521296,0.00024029291,442
cpi_surprise,0.021398462,0.0002389214,442
log_ret_lag2,0.020505715,0.00022895358,442
vol_10,0.019331163,0.00021583927,442
log_ret_lag1,0.018466001,0.00020617945,442
india_vix,0.017413974,0.00019443319,442
dxy_ret,0.017324582,0.00019343509,442
cpi_yoy,0.016692976,0.00018638298,442
brent_ret,0.01606808,0.00017940582,442
macd,0.014980414,0.00016726163,442
ret_ICICIBANK,0.014631583,0.00016336681,442
india_vix_ret,0.014465964,0.00016151762,442
vol_ratio,0.01326228,0.00014807806,442
india_vix_zscore,0.013245481,0.00014789049,442
momentum_30,0.012911172,0.0001441578,442
return_60d,0.012657724,0.00014132798,442
return_20d,0.01173163,0.00013098781,442
sma_10,0.010828743,0.00012090675,442
repo_rate,0.010713376,0.00011961864,442
rsi_14,0.010044436,0.00011214968,442
bb_pct,0.0098538,0.00011002117,442
price_sma50_ratio,0.009801881,0.000109441484,442
sma_50,0.0090820035,0.000101403784,442
ret_INFY,0.008838769,9.868799e-05,442
macd_signal,0.006504326,7.262311e-05,442
ema_26,0.0062517077,6.980253e-05,442
roc_10,0.005745189,6.414707e-05,442
return_1d,0.005552393,6.199443e-05,442
cpi_change,0.0002555783,2.8536224e-06,442
repo_change,1.9345156e-05,2.1599551e-07,442
india_vix_spike,0.0,0.0,442
