feature,H_stat,p_value,sig
vol_10,55.526,0.0,***
bb_width,55.278,0.0,***
vol_30,52.747,0.0,***
macd_hist,50.4,0.0,***
us_vix,44.663,0.0,***
india_vix_zscore,31.464,0.0,***
momentum_30,27.227,0.0,***
vol_ratio,23.067,1e-05,***
macd,21.704,2e-05,***
us10y_level,19.418,6e-05,***
repo_change,18.639,9e-05,***
cpi_yoy,17.668,0.00015,***
ema_12,16.464,0.00027,***
rsi_14,15.415,0.00045,***
momentum_10,15.353,0.00046,***
cpi_change,15.207,0.0005,***
ema_26,13.146,0.0014,**
return_1d,11.688,0.0029,**
sma_10,11.002,0.00408,**
return_60d,10.851,0.0044,**
return_5d,10.222,0.00603,**
bb_pct,8.644,0.01327,*
return_10d,8.546,0.01394,*
cpi_surprise,8.343,0.01543,*
log_return,6.349,0.04182,*
ret_RELIANCE,6.298,0.0429,*
